Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Kristaps Porziņģis,20-27,402,31.1,6.9,15.3,5.1,10.2,1.8,5.1,3.9,4.7,1.7,6.2,7.9,1.8,0.7,1.8,1.7,3.0,19.6,0.453,0.5,0.359,0.827,0.563,0.512,F-C
Bobby Portis,20-27,523,22.3,4.6,9.8,3.5,6.9,1.1,2.9,1.1,1.5,1.9,5.1,7.0,1.2,0.6,0.4,1.1,1.9,11.5,0.474,0.513,0.381,0.754,0.551,0.53,F
Otto Porter Jr.,20-29,512,25.8,4.1,8.5,2.7,5.2,1.3,3.3,1.1,1.4,1.2,3.9,5.0,1.5,1.1,0.4,0.8,1.8,10.5,0.478,0.529,0.397,0.797,0.578,0.555,F
Michael Porter Jr.,21-24,187,26.1,5.7,11.3,3.4,5.8,2.3,5.5,1.4,1.8,1.2,4.7,5.9,1.1,0.6,0.6,1.1,1.9,15.2,0.506,0.59,0.417,0.797,0.627,0.608,F
Kevin Porter Jr.,19-22,196,30.2,5.4,12.7,3.4,7.0,2.0,5.7,2.4,3.3,0.8,3.5,4.3,5.0,1.1,0.3,2.9,2.6,15.3,0.431,0.491,0.357,0.725,0.544,0.511,G
Jordan Poole,20-23,266,26.3,5.2,12.5,3.0,5.8,2.2,6.6,3.0,3.5,0.3,2.3,2.6,3.4,0.7,0.2,2.1,2.3,15.8,0.421,0.515,0.339,0.878,0.564,0.511,G
Quincy Pondexter,24-30,225,16.9,1.7,4.1,1.0,2.1,0.8,2.1,0.9,1.1,0.5,1.4,1.9,0.9,0.3,0.2,0.6,1.4,5.1,0.418,0.474,0.364,0.777,0.55,0.51,G-F
Aleksej Pokusevski,19-21,140,21.6,3.1,8.0,2.0,4.3,1.1,3.6,0.6,0.9,1.1,3.9,4.9,2.1,0.6,0.9,1.7,1.5,7.9,0.389,0.463,0.301,0.693,0.474,0.458,F
Jakob Poeltl,21-27,488,21.1,3.6,5.7,3.6,5.7,0.0,0.0,0.9,1.7,2.6,3.9,6.5,1.6,0.6,1.3,1.1,2.4,8.1,0.628,0.628,0.5,0.536,0.626,0.628,C
Miles Plumlee,24-30,346,16.4,2.2,4.0,2.2,4.0,0.0,0.0,0.6,1.1,1.6,2.9,4.5,0.5,0.4,0.7,0.9,1.6,4.9,0.542,0.542,0.0,0.543,0.55,0.542,C-F
Mason Plumlee,23-32,740,22.7,3.4,5.7,3.4,5.6,0.0,0.1,1.8,3.2,2.1,4.7,6.9,2.5,0.7,0.9,1.5,2.8,8.6,0.595,0.601,0.049,0.567,0.605,0.595,C-F
Paul Pierce,35-39,318,25.5,4.0,9.2,2.5,5.2,1.5,4.0,2.6,3.2,0.4,3.9,4.3,2.4,0.8,0.3,1.7,2.3,12.0,0.431,0.481,0.366,0.799,0.564,0.511,F-G
